first_seen,last_seen,occurrence_total,occurrence_24h,trend,root_cause,category,detail,problem_id,problem_key,flow,error_class,affected_apps,affected_namespaces,scope,status,jira,notes,severity,score,ratio
2026-01-15 14:33,2026-02-23 23:46,151,46,↓ -56%,Unknown,unknown,unclassified / design_lifecycle,KP-000045,UNKNOWN:design_lifecycle:unclassified,design_lifecycle,unclassified,"bff-pcb-ch-design-servicing-v1, bl-pcb-design-lifecycle-v1, bl-pcb-v1, feapi-pca-v1","pca-dev-01-app, pcb-ch-dev-01-app, pcb-dev-01-app, pcb-sit-01-app, pcb-uat-01-app",SYSTEMIC,OPEN,,,unknown,0.0,1.0
2026-01-13 19:54,2026-02-23 23:44,691,100,↓ -83%,Unknown,unknown,unclassified / click2pay,KP-000010,UNKNOWN:click2pay:unclassified,click2pay,unclassified,"bff-pcb-ch-click2pay-v1, bl-pcb-billing-v1, bl-pcb-card-client-segment-v1, bl-pcb-card-georisk-v1, bl-pcb-card-read-model-v1, bl-pcb-click2pay-v1, bl-pcb-client-rainbow-status-v1, bl-pcb-codelist-v1, bl-pcb-design-lifecycle-v1, bl-pcb-design-v1","pca-dev-01-app, pcb-ch-dev-01-app, pcb-ch-sit-01-app, pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",SYSTEMIC,OPEN,,,unknown,0.0,1.0
2026-01-14 10:01,2026-02-23 23:37,504255,100,↓ -100%,Unknown,unknown,unclassified / unknown,KP-000015,UNKNOWN:unknown:unclassified,unknown,unclassified,"bl-pcb-v1, feapi-pca-v1","pca-dev-01-app, pca-fat-01-app, pca-sit-01-app, pca-uat-01-app, pcb-ch-sit-01-app, pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",SYSTEMIC,OPEN,,,unknown,0.0,1.0
2026-01-26 00:05,2026-02-23 23:37,1,9,→ stable,Unknown,business,business_exception / card_servicing,KP-000053,BUSINESS:card_servicing:business_exception,card_servicing,business_exception,"bff-pcb-ch-card-opening-v2, bff-pcb-ch-card-sensitive-data-v1, bff-pcb-ch-card-servicing-admin-v1, bff-pcb-ch-card-servicing-init-v1, bff-pcb-ch-card-servicing-notice-v1, bff-pcb-ch-card-servicing-v1, bff-pcb-ch-card-servicing-v2, bff-pcb-ch-card-servicing-v3, bff-pcb-ch-click2pay-v1, bl-pcb-atm-locator-v1","pca-dev-01-app, pca-sit-01-app, pca-uat-01-app, pcb-ch-dev-01-app, pcb-ch-sit-01-app, pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",SYSTEMIC,OPEN,,,unknown,0.0,1.0
2026-01-13 19:38,2026-02-23 23:37,1,100,→ stable,Unknown,business,business_exception / unknown,KP-000052,BUSINESS:unknown:business_exception,unknown,business_exception,"bl-pcb-v1, feapi-pca-v1","pca-dev-01-app, pca-sit-01-app, pca-uat-01-app, pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",SYSTEMIC,OPEN,,,unknown,0.0,1.0
2026-01-15 04:54,2026-02-23 23:37,30,98,→ stable,Unknown,business,not_found / unknown,KP-000056,BUSINESS:unknown:not_found,unknown,not_found,"bl-pcb-v1, feapi-pca-v1","pca-dev-01-app, pca-sit-01-app, pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",SYSTEMIC,OPEN,,,unknown,0.0,1.0
2026-01-15 14:33,2026-02-23 23:36,0,100,→ stable,Unknown,business,not_found / event_processing,KP-000118,BUSINESS:event_processing:not_found,event_processing,not_found,bl-pcb-event-processor-relay-v1,"pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",SYSTEMIC,OPEN,,,unknown,0.0,1.0
2026-01-13 19:30,2026-02-23 23:35,53120,85,↓ -100%,Unknown,unknown,unclassified / card_opening,KP-000003,UNKNOWN:card_opening:unclassified,card_opening,unclassified,"bff-pcb-ch-card-opening-v2, bff-pcb-ch-card-sensitive-data-v1, bff-pcb-ch-card-validation-v1, bff-pcb-ch-click2pay-v1, bl-pcb-atm-locator-v1, bl-pcb-batch-processor-v1, bl-pcb-billing-v1, bl-pcb-card-client-segment-v1, bl-pcb-card-georisk-v1, bl-pcb-card-read-model-v1","pca-dev-01-app, pca-sit-01-app, pcb-ch-dev-01-app, pcb-ch-fat-01-app, pcb-ch-sit-01-app, pcb-ch-uat-01-app, pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",SYSTEMIC,OPEN,,,unknown,0.0,1.0
2026-01-13 09:00,2026-02-23 23:30,89298,96,↓ -100%,Unknown,unknown,unclassified / card_servicing,KP-000001,UNKNOWN:card_servicing:unclassified,card_servicing,unclassified,"bff-pcb-ch-card-opening-v2, bff-pcb-ch-card-sensitive-data-v1, bff-pcb-ch-card-servicing-admin-v1, bff-pcb-ch-card-servicing-init-v1, bff-pcb-ch-card-servicing-notice-v1, bff-pcb-ch-card-servicing-v1, bff-pcb-ch-card-servicing-v2, bff-pcb-ch-card-servicing-v3, bff-pcb-ch-card-validation-v1, bff-pcb-ch-click2pay-v1","pca-dev-01-app, pca-sit-01-app, pcb-ch-dev-01-app, pcb-ch-sit-01-app, pcb-ch-uat-01-app, pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",SYSTEMIC,OPEN,,,unknown,0.0,1.0
2026-01-19 13:19,2026-02-23 23:30,4,76,→ stable,Unknown,unknown,constraint_violation / card_servicing,KP-000065,UNKNOWN:card_servicing:constraint_violation,card_servicing,constraint_violation,"bff-pcb-ch-card-opening-v2, bff-pcb-ch-card-servicing-admin-v1, bff-pcb-ch-card-servicing-init-v1, bff-pcb-ch-card-servicing-v1, bff-pcb-ch-card-servicing-v3, bff-pcb-ch-card-validation-v1, bff-pcb-ch-click2pay-v1, bff-pcb-ch-document-signing-v1, bl-pcb-card-client-segment-v1, bl-pcb-card-georisk-v1","pcb-ch-dev-01-app, pcb-ch-sit-01-app, pcb-dev-01-app, pcb-sit-01-app",SYSTEMIC,OPEN,,,unknown,0.0,1.0
2026-01-14 06:01,2026-02-23 23:30,411,8,↓ -98%,Unknown,auth,unclassified / card_servicing,KP-000004,AUTH:card_servicing:unclassified,card_servicing,unclassified,"bff-pcb-ch-card-opening-v2, bff-pcb-ch-card-sensitive-data-v1, bff-pcb-ch-card-servicing-admin-v1, bff-pcb-ch-card-servicing-init-v1, bff-pcb-ch-card-servicing-notice-v1, bff-pcb-ch-card-servicing-v1, bff-pcb-ch-card-servicing-v2, bff-pcb-ch-card-servicing-v3, bff-pcb-ch-card-validation-v1, bff-pcb-ch-click2pay-v1","pca-dev-01-app, pca-sit-01-app, pcb-ch-dev-01-app, pcb-ch-sit-01-app, pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",SYSTEMIC,OPEN,,,unknown,0.0,1.0
2026-01-13 09:05,2026-02-23 23:30,0,70,→ stable,Unknown,auth,forbidden / card_servicing,KP-000058,AUTH:card_servicing:forbidden,card_servicing,forbidden,"bff-pcb-ch-card-servicing-admin-v1, bff-pcb-ch-card-servicing-init-v1, bff-pcb-ch-card-servicing-notice-v1, bff-pcb-ch-card-servicing-v1, bff-pcb-ch-card-servicing-v2, bff-pcb-ch-card-servicing-v3","pcb-ch-dev-01-app, pcb-ch-sit-01-app",CROSS_NS,OPEN,,,unknown,0.0,1.0
2026-01-21 10:56,2026-02-23 23:30,22,24,→ stable,Unknown,unknown,access_denied / card_servicing,KP-000057,UNKNOWN:card_servicing:access_denied,card_servicing,access_denied,"bff-pcb-ch-card-opening-v2, bff-pcb-ch-card-sensitive-data-v1, bff-pcb-ch-card-servicing-admin-v1, bff-pcb-ch-card-servicing-init-v1, bff-pcb-ch-card-servicing-notice-v1, bff-pcb-ch-card-servicing-v1, bff-pcb-ch-card-servicing-v2, bff-pcb-ch-card-servicing-v3, bff-pcb-ch-card-validation-v1, bff-pcb-ch-click2pay-v1","pca-dev-01-app, pca-sit-01-app, pcb-ch-dev-01-app, pcb-ch-sit-01-app, pcb-dev-01-app, pcb-sit-01-app",SYSTEMIC,OPEN,,,unknown,0.0,1.0
2026-01-26 00:25,2026-02-23 23:30,12,15,→ stable,Unknown,unknown,json_parse_exception / card_servicing,KP-000068,UNKNOWN:card_servicing:json_parse_exception,card_servicing,json_parse_exception,"bff-pcb-ch-card-opening-v2, bff-pcb-ch-card-servicing-admin-v1, bff-pcb-ch-card-servicing-v1, bl-pcb-notification-v1","pcb-ch-dev-01-app, pcb-ch-sit-01-app, pcb-dev-01-app, pcb-sit-01-app",SYSTEMIC,OPEN,,,unknown,0.0,1.0
2026-01-16 07:35,2026-02-23 23:30,4420,6,↓ -100%,Unknown,unknown,unclassified / client_status,KP-000041,UNKNOWN:client_status:unclassified,client_status,unclassified,"bl-pcb-client-rainbow-status-v1, bl-pcb-v1","pcb-ch-sit-01-app, pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",SYSTEMIC,OPEN,,,unknown,0.0,1.0
