peak_id,problem_key,category,peak_type,affected_apps,affected_namespaces,peak_count,baseline_rate,peak_ratio,first_seen,last_seen,occurrence_count,status
PK-000006,PEAK:unknown:design_lifecycle:spike,PEAK,SPIKE,bl-pcb-design-lifecycle-v1,pcb-dev-01-app,23,1,3.041901494268763,2026-02-05 00:08,2026-02-23 23:46,23,OPEN
PK-000007,PEAK:auth:card_servicing:burst,PEAK,BURST,"bff-pcb-ch-card-opening-v2, bff-pcb-ch-card-sensitive-data-v1, bff-pcb-ch-card-servicing-admin-v1, bff-pcb-ch-card-servicing-init-v1, bff-pcb-ch-card-servicing-notice-v1, bff-pcb-ch-card-servicing-v1, bff-pcb-ch-card-servicing-v2, bff-pcb-ch-card-servicing-v3, bff-pcb-ch-card-validation-v1, bff-pcb-ch-click2pay-v1","pcb-ch-dev-01-app, pcb-ch-sit-01-app",772,0,0.0,2026-02-05 00:25,2026-02-23 23:30,772,OPEN
PK-000005,PEAK:unknown:card_servicing:burst,PEAK,BURST,"bff-pcb-ch-card-opening-v2, bff-pcb-ch-card-sensitive-data-v1, bff-pcb-ch-card-servicing-admin-v1, bff-pcb-ch-card-servicing-init-v1, bff-pcb-ch-card-servicing-notice-v1, bff-pcb-ch-card-servicing-v1, bff-pcb-ch-card-servicing-v2, bff-pcb-ch-card-servicing-v3, bff-pcb-ch-card-validation-v1, bff-pcb-ch-click2pay-v1","pcb-ch-dev-01-app, pcb-ch-sit-01-app, pcb-dev-01-app, pcb-sit-01-app",1417,0,0.0,2026-02-05 00:06,2026-02-23 23:30,1417,OPEN
PK-000001,PEAK:unknown:unknown:burst,PEAK,BURST,"bl-pcb-v1, feapi-pca-v1","pca-dev-01-app, pca-sit-01-app, pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",1917,0,0.0,2026-02-05 01:06,2026-02-23 19:08,1917,OPEN
PK-000023,PEAK:unknown:pilot_context:burst,PEAK,BURST,bl-pcb-pilot-context-v1,pcb-sit-01-app,39,0,0.0,2026-02-08 15:35,2026-02-11 23:44,39,OPEN
PK-000002,PEAK:business:unknown:burst,PEAK,BURST,"bl-pcb-v1, feapi-pca-v1","pca-dev-01-app, pca-sit-01-app, pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",662,0,0.0,2026-02-05 00:05,2026-02-11 23:44,662,OPEN
PK-000010,PEAK:business:card_servicing:burst,PEAK,BURST,"bff-pcb-ch-card-opening-v2, bff-pcb-ch-card-sensitive-data-v1, bff-pcb-ch-card-servicing-admin-v1, bff-pcb-ch-card-servicing-init-v1, bff-pcb-ch-card-servicing-notice-v1, bff-pcb-ch-card-servicing-v1, bff-pcb-ch-card-servicing-v2, bff-pcb-ch-card-servicing-v3, bff-pcb-ch-click2pay-v1, bl-pcb-atm-locator-v1","pca-dev-01-app, pca-sit-01-app, pcb-ch-dev-01-app, pcb-ch-sit-01-app, pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",129,0,0.0,2026-02-05 00:05,2026-02-11 23:44,129,OPEN
PK-000003,PEAK:unknown:card_opening:burst,PEAK,BURST,"bff-pcb-ch-card-opening-v2, bl-pcb-atm-locator-v1, bl-pcb-v1","pcb-ch-dev-01-app, pcb-ch-fat-01-app, pcb-ch-sit-01-app, pcb-ch-uat-01-app, pcb-dev-01-app, pcb-sit-01-app",536,0,0.0,2026-02-05 00:05,2026-02-11 23:35,536,OPEN
PK-000020,PEAK:auth:unknown:burst,PEAK,BURST,bl-pcb-v1,"pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",275,0,0.0,2026-02-05 00:06,2026-02-11 23:04,275,OPEN
PK-000004,PEAK:business:event_processing:burst,PEAK,BURST,bl-pcb-event-processor-relay-v1,"pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",300,0,0.0,2026-02-05 00:05,2026-02-11 22:07,300,OPEN
PK-000013,PEAK:unknown:click2pay:burst,PEAK,BURST,"bff-pcb-ch-click2pay-v1, bl-pcb-click2pay-v1, bl-pcb-v1","pcb-ch-dev-01-app, pcb-ch-sit-01-app, pcb-dev-01-app, pcb-sit-01-app",102,0,0.0,2026-02-05 06:01,2026-02-11 21:51,102,OPEN
PK-000012,PEAK:auth:click2pay:burst,PEAK,BURST,bff-pcb-ch-click2pay-v1,"pcb-ch-dev-01-app, pcb-ch-sit-01-app",180,0,0.0,2026-02-05 06:01,2026-02-11 21:51,180,OPEN
PK-000019,PEAK:unknown:card_validation:burst,PEAK,BURST,"bff-pcb-ch-card-validation-v1, bff-pcb-ch-click2pay-v1","pcb-ch-dev-01-app, pcb-ch-sit-01-app",80,0,0.0,2026-02-05 06:01,2026-02-11 21:51,80,OPEN
PK-000021,PEAK:business:click2pay:burst,PEAK,BURST,"bff-pcb-ch-click2pay-v1, bl-pcb-click2pay-v1, bl-pcb-v1","pcb-ch-dev-01-app, pcb-ch-sit-01-app, pcb-dev-01-app, pcb-sit-01-app",117,0,0.0,2026-02-05 06:02,2026-02-11 21:51,117,OPEN
PK-000008,PEAK:unknown:batch_processing:burst,PEAK,BURST,bl-pcb-batch-processor-v1,"pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",138,0,0.0,2026-02-05 05:00,2026-02-11 21:50,138,OPEN
PK-000018,PEAK:auth:card_validation:burst,PEAK,BURST,bff-pcb-ch-card-validation-v1,"pcb-ch-dev-01-app, pcb-ch-sit-01-app",20,0,0.0,2026-02-05 06:01,2026-02-11 21:47,20,OPEN
PK-000014,PEAK:unknown:document_signing:burst,PEAK,BURST,"bl-pcb-document-signing-v1, bl-pcb-v1","pcb-dev-01-app, pcb-sit-01-app",20,0,0.0,2026-02-05 06:01,2026-02-11 21:36,20,OPEN
PK-000011,PEAK:business:card_opening:burst,PEAK,BURST,"bff-pcb-ch-card-opening-v2, bl-pcb-atm-locator-v1, bl-pcb-click2pay-v1, bl-pcb-v1","pcb-ch-dev-01-app, pcb-ch-sit-01-app, pcb-dev-01-app, pcb-sit-01-app",67,0,0.0,2026-02-05 06:01,2026-02-11 21:34,67,OPEN
PK-000042,PEAK:external:card_opening:burst,PEAK,BURST,bff-pcb-ch-card-opening-v2,"pcb-ch-dev-01-app, pcb-ch-sit-01-app",12,0,0.0,2026-02-10 11:21,2026-02-11 21:34,12,OPEN
PK-000022,PEAK:external:unknown:burst,PEAK,BURST,"bl-pcb-v1, feapi-pca-v1","pca-dev-01-app, pca-sit-01-app, pcb-dev-01-app, pcb-sit-01-app",66,0,0.0,2026-02-05 11:36,2026-02-11 21:34,66,OPEN
PK-000032,PEAK:external:card_servicing:burst,PEAK,BURST,"bff-pcb-ch-card-servicing-admin-v1, bff-pcb-ch-card-servicing-v2","pcb-ch-dev-01-app, pcb-ch-sit-01-app",79,0,0.0,2026-02-05 19:47,2026-02-11 21:33,79,OPEN
PK-000029,PEAK:unknown:notification:burst,PEAK,BURST,"bl-pcb-notification-v1, bl-pcb-v1","pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",21,0,0.0,2026-02-05 00:15,2026-02-11 21:33,21,OPEN
PK-000009,PEAK:auth:card_opening:burst,PEAK,BURST,"bff-pcb-ch-card-opening-v2, bl-pcb-v1","pcb-ch-dev-01-app, pcb-ch-sit-01-app, pcb-dev-01-app",211,0,0.0,2026-02-05 06:00,2026-02-11 21:32,211,OPEN
PK-000024,PEAK:business:atm_locator:burst,PEAK,BURST,"bl-pcb-atm-locator-v1, bl-pcb-v1","pcb-dev-01-app, pcb-sit-01-app",40,0,0.0,2026-02-05 12:06,2026-02-11 21:30,40,OPEN
PK-000017,PEAK:unknown:card_sensitive:burst,PEAK,BURST,bff-pcb-ch-card-sensitive-data-v1,"pcb-ch-dev-01-app, pcb-ch-sit-01-app",100,0,0.0,2026-02-05 06:01,2026-02-11 21:30,100,OPEN
PK-000016,PEAK:auth:card_sensitive:burst,PEAK,BURST,bff-pcb-ch-card-sensitive-data-v1,pcb-ch-sit-01-app,80,0,0.0,2026-02-05 06:01,2026-02-11 21:30,80,OPEN
PK-000026,PEAK:unknown:client_segment:burst,PEAK,BURST,bl-pcb-card-client-segment-v1,"pcb-dev-01-app, pcb-sit-01-app",60,0,0.0,2026-02-05 18:19,2026-02-11 21:27,60,OPEN
PK-000030,PEAK:unknown:token:burst,PEAK,BURST,bl-pcb-token-v1,"pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",34,0,0.0,2026-02-05 09:33,2026-02-11 21:00,34,OPEN
PK-000028,PEAK:business:georisk:burst,PEAK,BURST,"bl-pcb-card-georisk-v1, bl-pcb-notification-v1","pcb-dev-01-app, pcb-sit-01-app",80,0,0.0,2026-02-05 08:47,2026-02-11 20:55,80,OPEN
PK-000027,PEAK:unknown:georisk:burst,PEAK,BURST,bl-pcb-card-georisk-v1,"pcb-dev-01-app, pcb-sit-01-app",97,0,0.0,2026-02-05 18:22,2026-02-11 20:19,97,OPEN
PK-000025,PEAK:business:client_segment:burst,PEAK,BURST,bl-pcb-card-client-segment-v1,"pcb-dev-01-app, pcb-sit-01-app",40,0,0.0,2026-02-05 18:19,2026-02-11 20:16,40,OPEN
PK-000031,PEAK:business:card_sensitive:burst,PEAK,BURST,bff-pcb-ch-card-sensitive-data-v1,pcb-ch-dev-01-app,20,0,0.0,2026-02-05 19:33,2026-02-11 19:33,20,OPEN
PK-000033,PEAK:business:batch_processing:burst,PEAK,BURST,bl-pcb-batch-processor-v1,"pcb-dev-01-app, pcb-sit-01-app",8,0,0.0,2026-02-05 06:52,2026-02-11 16:07,8,OPEN
PK-000038,PEAK:unknown:event_processing:burst,PEAK,BURST,bl-pcb-event-processor-relay-v1,"pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",4,0,0.0,2026-02-11 09:46,2026-02-11 13:01,4,OPEN
PK-000036,PEAK:unknown:design_lifecycle:burst,PEAK,BURST,"bl-pcb-card-georisk-v1, bl-pcb-design-lifecycle-v1","pcb-dev-01-app, pcb-sit-01-app",44,0,0.0,2026-02-10 09:38,2026-02-11 11:07,44,OPEN
PK-000037,PEAK:business:design_lifecycle:burst,PEAK,BURST,bl-pcb-design-lifecycle-v1,pcb-dev-01-app,10,0,0.0,2026-02-10 13:33,2026-02-11 11:07,10,OPEN
PK-000041,PEAK:external:design_lifecycle:burst,PEAK,BURST,bl-pcb-design-lifecycle-v1,pcb-dev-01-app,8,0,0.0,2026-02-10 11:20,2026-02-11 11:06,8,OPEN
PK-000039,PEAK:timeout:design_lifecycle:burst,PEAK,BURST,bl-pcb-design-lifecycle-v1,pcb-dev-01-app,50,0,0.0,2026-02-11 10:18,2026-02-11 11:06,50,OPEN
PK-000040,PEAK:database:design_lifecycle:burst,PEAK,BURST,bl-pcb-design-lifecycle-v1,pcb-dev-01-app,28,0,0.0,2026-02-11 10:18,2026-02-11 11:05,28,OPEN
PK-000015,PEAK:auth:document_signing:burst,PEAK,BURST,"bff-pcb-ch-document-signing-v1, bl-pcb-document-signing-v1","pcb-ch-sit-01-app, pcb-sit-01-app",80,0,0.0,2026-02-05 06:01,2026-02-11 06:01,80,OPEN
PK-000035,PEAK:unknown:client_status:burst,PEAK,BURST,bl-pcb-client-rainbow-status-v1,"pcb-dev-01-app, pcb-fat-01-app, pcb-sit-01-app, pcb-uat-01-app",3,0,0.0,2026-02-09 00:00,2026-02-09 14:30,3,OPEN
PK-000034,PEAK:external:notification:burst,PEAK,BURST,bl-pcb-notification-v1,"pcb-dev-01-app, pcb-sit-01-app",1,0,0.0,2026-02-05 08:47,2026-02-05 20:55,1,OPEN
